array_id,avg_samp_frac,true_corr_uz1,true_corr_z1z2,is_u_latent,true_mean_y,n_sim,pop_size,seed,true_log_or_samp_z2,true_log_or_samp_y,true_baseline_log_odds_samp
93,0.05,0.25,1,FALSE,0,167,1e4,NA,0.05,-0.05,NA
94,0.05,0.25,1,FALSE,0,167,1e4,NA,0.15000000000000002,-0.15000000000000002,NA
95,0.05,0.25,1,FALSE,0,167,1e4,NA,0.25,-0.25,NA
96,0.25,0.25,1,FALSE,0,167,1e4,NA,0,0,NA
97,0.25,0.25,1,FALSE,0,167,1e4,NA,0.1,0,NA
98,0.25,0.25,1,FALSE,0,167,1e4,NA,0.30000000000000004,0,NA
99,0.25,0.25,1,FALSE,0,167,1e4,NA,0.5,0,NA
100,0.25,0.25,1,FALSE,0,167,1e4,NA,0.075,0.025,NA
101,0.25,0.25,1,FALSE,0,167,1e4,NA,0.22499999999999998,0.07500000000000001,NA
102,0.25,0.25,1,FALSE,0,167,1e4,NA,0.375,0.125,NA
103,0.25,0.25,1,FALSE,0,167,1e4,NA,0.05,0.05,NA
104,0.25,0.25,1,FALSE,0,167,1e4,NA,0.15000000000000002,0.15000000000000002,NA
105,0.25,0.25,1,FALSE,0,167,1e4,NA,0.25,0.25,NA
106,0.25,0.25,1,FALSE,0,167,1e4,NA,0.025,0.075,NA
107,0.25,0.25,1,FALSE,0,167,1e4,NA,0.07500000000000001,0.22499999999999998,NA
108,0.25,0.25,1,FALSE,0,167,1e4,NA,0.125,0.375,NA
109,0.25,0.25,1,FALSE,0,167,1e4,NA,0,0.1,NA
110,0.25,0.25,1,FALSE,0,167,1e4,NA,0,0.30000000000000004,NA
111,0.25,0.25,1,FALSE,0,167,1e4,NA,0,0.5,NA
112,0.25,0.25,1,FALSE,0,167,1e4,NA,0.05,-0.05,NA
113,0.25,0.25,1,FALSE,0,167,1e4,NA,0.15000000000000002,-0.15000000000000002,NA
114,0.25,0.25,1,FALSE,0,167,1e4,NA,0.25,-0.25,NA
115,0.05,0.75,1,FALSE,0,167,1e4,NA,0,0,NA
116,0.05,0.75,1,FALSE,0,167,1e4,NA,0.1,0,NA
117,0.05,0.75,1,FALSE,0,167,1e4,NA,0.30000000000000004,0,NA
118,0.05,0.75,1,FALSE,0,167,1e4,NA,0.5,0,NA
119,0.05,0.75,1,FALSE,0,167,1e4,NA,0.075,0.025,NA
120,0.05,0.75,1,FALSE,0,167,1e4,NA,0.22499999999999998,0.07500000000000001,NA
121,0.05,0.75,1,FALSE,0,167,1e4,NA,0.375,0.125,NA
122,0.05,0.75,1,FALSE,0,167,1e4,NA,0.05,0.05,NA
123,0.05,0.75,1,FALSE,0,167,1e4,NA,0.15000000000000002,0.15000000000000002,NA
124,0.05,0.75,1,FALSE,0,167,1e4,NA,0.25,0.25,NA
125,0.05,0.75,1,FALSE,0,167,1e4,NA,0.025,0.075,NA
126,0.05,0.75,1,FALSE,0,167,1e4,NA,0.07500000000000001,0.22499999999999998,NA
