FINALVOTE_STATE_WEIGHT,state,male,age1,age2,age3,age4,age5,age6,hsless,somecoll,coll,postcoll,white,black,hisp,other,lib,noideo,demparty
0.1032334609,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
1.5321882072,AZ,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0.3169141601,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
1.9483806093,AZ,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.0358065518,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.5404072287,AZ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0.147507589,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
2.1269594796,AZ,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.1021237513,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
3.3718386742,AZ,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.6428984976,AZ,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
0.2092185593,AZ,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
0.6321551636,AZ,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0.3196220902,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0.0770596998,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0.849538225,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.6970530624,AZ,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
0.6068950116,AZ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0.9165994237,AZ,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1.7634942082,AZ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
3.1537297662,AZ,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0.1790267041,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
1.0639093483,AZ,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0.2616248874,AZ,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
2.9107570141,AZ,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
0.183175059,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
0.4331045103,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0.5966135927,AZ,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.3017217079,AZ,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
3.6221330759,AZ,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
0.9803666438,AZ,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
3.9824439904,AZ,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.5742153766,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
3.281215041,AZ,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.2847525719,AZ,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
