type,state,variable,level,likely,Frequency,WgtFreq,pct,pctSE,pctLB,pctUB
ABC Unweighted,MN,age4,0,1,567,,0.8630136986,0.013424357,0.8366541035,0.8893732937
ABC Unweighted,MN,age4,1,1,90,,0.1369863014,0.013424357,0.1106267063,0.1633458965
ABC Unweighted,MN,age5,0,1,474,,0.7214611872,0.0175023121,0.6870942629,0.7558281115
ABC Unweighted,MN,age5,1,1,183,,0.2785388128,0.0175023121,0.2441718885,0.3129057371
ABC Unweighted,MN,age6,0,1,414,,0.6301369863,0.0188488134,0.5931261193,0.6671478533
ABC Unweighted,MN,age6,1,1,243,,0.3698630137,0.0188488134,0.3328521467,0.4068738807
ABC Unweighted,MN,hsless,0,1,511,,0.7777777778,0.0162318337,0.74590552,0.8096500355
ABC Unweighted,MN,hsless,1,1,146,,0.2222222222,0.0162318337,0.1903499645,0.25409448
ABC Unweighted,MN,somecoll,0,1,489,,0.7442922374,0.0170329463,0.7108469432,0.7777375317
ABC Unweighted,MN,somecoll,1,1,168,,0.2557077626,0.0170329463,0.2222624683,0.2891530568
ABC Unweighted,MN,coll,0,1,441,,0.6712328767,0.0183411633,0.6352188136,0.7072469398
ABC Unweighted,MN,coll,1,1,216,,0.3287671233,0.0183411633,0.2927530602,0.3647811864
ABC Unweighted,MN,postcoll,0,1,530,,0.8066971081,0.0154177324,0.7764233911,0.836970825
ABC Unweighted,MN,postcoll,1,1,127,,0.1933028919,0.0154177324,0.163029175,0.2235766089
ABC Unweighted,MN,white,0,1,88,,0.1339421613,0.0132977504,0.1078311664,0.1600531563
ABC Unweighted,MN,white,1,1,569,,0.8660578387,0.0132977504,0.8399468437,0.8921688336
ABC Unweighted,MN,black,0,1,638,,0.9710806697,0.0065428633,0.9582333335,0.983928006
ABC Unweighted,MN,black,1,1,19,,0.0289193303,0.0065428633,0.016071994,0.0417666665
ABC Unweighted,MN,hisp,0,1,635,,0.9665144597,0.0070239096,0.9527225579,0.9803063614
ABC Unweighted,MN,hisp,1,1,22,,0.0334855403,0.0070239096,0.0196936386,0.0472774421
ABC Unweighted,MN,other,0,1,618,,0.9406392694,0.0092258683,0.922523679,0.9587548598
ABC Unweighted,MN,other,1,1,39,,0.0593607306,0.0092258683,0.0412451402,0.077476321
ABC Unweighted,MN,lib,0,1,502,,0.7640791476,0.0165767129,0.7315296973,0.7966285979
ABC Unweighted,MN,lib,1,1,155,,0.2359208524,0.0165767129,0.2033714021,0.2684703027
ABC Unweighted,MN,noideo,0,1,633,,0.9634703196,0.007324672,0.9490878513,0.977852788
ABC Unweighted,MN,noideo,1,1,24,,0.0365296804,0.007324672,0.022147212,0.0509121487
ABC Unweighted,MN,demparty,0,1,316,,0.4809741248,0.019507492,0.4426698996,0.51927835
ABC Unweighted,MN,demparty,1,1,341,,0.5190258752,0.019507492,0.48072165,0.5573301004
ABC Unweighted,NC,trumpind,0,1,327,,0.5157728707,0.0198630099,0.4767690103,0.554776731
ABC Unweighted,NC,trumpind,1,1,307,,0.4842271293,0.0198630099,0.445223269,0.5232309897
ABC Unweighted,NC,male,0,1,293,,0.4621451104,0.0198158631,0.4232338294,0.5010563914
ABC Unweighted,NC,male,1,1,341,,0.5378548896,0.0198158631,0.4989436086,0.5767661706
ABC Unweighted,NC,age1,0,1,597,,0.9416403785,0.0093172988,0.92334453,0.9599362271
ABC Unweighted,NC,age1,1,1,37,,0.0583596215,0.0093172988,0.0400637729,0.07665547
ABC Unweighted,NC,age2,0,1,604,,0.952681388,0.0084388077,0.9361105823,0.9692521937
ABC Unweighted,NC,age2,1,1,30,,0.047318612,0.0084388077,0.0307478063,0.0638894177
ABC Unweighted,NC,age3,0,1,572,,0.9022082019,0.0118058117,0.8790258023,0.9253906015
ABC Unweighted,NC,age3,1,1,62,,0.0977917981,0.0118058117,0.0746093985,0.1209741977
ABC Unweighted,NC,age4,0,1,557,,0.8785488959,0.0129829969,0.8530549248,0.904042867
ABC Unweighted,NC,age4,1,1,77,,0.1214511041,0.0129829969,0.095957133,0.1469450752
ABC Unweighted,NC,age5,0,1,443,,0.6987381703,0.0182356203,0.6629299221,0.7345464186
ABC Unweighted,NC,age5,1,1,191,,0.3012618297,0.0182356203,0.2654535814,0.3370700779
ABC Unweighted,NC,age6,0,1,397,,0.6261829653,0.0192296518,0.588422794,0.6639431366
ABC Unweighted,NC,age6,1,1,237,,0.3738170347,0.0192296518,0.3360568634,0.411577206
ABC Unweighted,NC,hsless,0,1,472,,0.7444794953,0.0173352656,0.7104392222,0.7785197684
ABC Unweighted,NC,hsless,1,1,162,,0.2555205047,0.0173352656,0.2214802316,0.2895607778
ABC Unweighted,NC,somecoll,0,1,427,,0.6735015773,0.0186380771,0.6369030475,0.7101001071
ABC Unweighted,NC,somecoll,1,1,207,,0.3264984227,0.0186380771,0.2898998929,0.3630969525
ABC Unweighted,NC,coll,0,1,470,,0.7413249211,0.0174049527,0.7071478075,0.7755020347
ABC Unweighted,NC,coll,1,1,164,,0.2586750789,0.0174049527,0.2244979653,0.2928521925
ABC Unweighted,NC,postcoll,0,1,534,,0.8422712934,0.0144868053,0.8138243795,0.8707182072
ABC Unweighted,NC,postcoll,1,1,100,,0.1577287066,0.0144868053,0.1292817928,0.1861756205
ABC Unweighted,NC,white,0,1,169,,0.2665615142,0.0175740486,0.2320523566,0.3010706718
ABC Unweighted,NC,white,1,1,465,,0.7334384858,0.0175740486,0.6989293282,0.7679476434
ABC Unweighted,NC,black,0,1,515,,0.8123028391,0.0155195488,0.7818279858,0.8427776925
ABC Unweighted,NC,black,1,1,119,,0.1876971609,0.0155195488,0.1572223075,0.2181720142
ABC Unweighted,NC,hisp,0,1,616,,0.9716088328,0.0066012868,0.9586462621,0.9845714035
ABC Unweighted,NC,hisp,1,1,18,,0.0283911672,0.0066012868,0.0154285965,0.0413537379
