state,weight,likely,male,age1,age2,age3,age4,age5,age6,hsless,somecoll,coll,postcoll,white,black,hisp,other
AK,569.431,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,744.1395,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
AK,754.7055,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
AK,668.6638,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
AK,522.9478,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
AK,491.0744,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
AK,586.182,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
AK,540.804,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
AK,515.4566,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,571.5093,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,690.1889,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
AK,536.01,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
AK,469.7289,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
AK,785.6781,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
AK,565.7334,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AK,541.4856,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
AK,561.2971,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,460.9809,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AK,499.83,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AK,538.7971,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
AK,496.3369,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
AK,1359.6452,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
AK,490.3543,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
AK,572.8771,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
AK,626.2592,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
AK,555.1765,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
AK,504.2363,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
AK,530.6652,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,534.9058,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
AK,561.2945,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
AK,411.8501,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,612.8857,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,521.1403,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AK,567.4863,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AK,476.2262,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AK,494.3787,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AK,455.9533,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AK,567.7459,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
AK,605.7747,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
AK,546.4132,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
AK,422.0707,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
AK,562.1014,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AK,416.3914,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AK,612.7681,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
AK,434.4921,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AK,413.4782,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
AK,414.3264,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
AK,678.5243,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,562.1014,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
AK,581.8671,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
AK,476.2434,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
AK,610.8597,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,517.8273,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
AK,624.679,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
